extra_func 6 0xA003  # cpu=$8003 target=CODE A=05 X=10 Y=00 call_site=$0000
extra_func 7 0xFF01  # cpu=$FF01 target=ZERO_FILLED A=00 X=03 Y=04 call_site=$A0BE
extra_func 3 0x4801  # cpu=$4801 target=ZERO_FILLED A=00 X=00 Y=15 call_site=$204C
extra_func 6 0xA009  # cpu=$8009 target=CODE A=0D X=06 Y=00 call_site=$0000
extra_func 6 0xA003  # cpu=$8003 target=CODE A=05 X=10 Y=00 call_site=$0000
extra_func 7 0xFF01  # cpu=$FF01 target=ZERO_FILLED A=00 X=03 Y=04 call_site=$A0BE
extra_func 3 0x4801  # cpu=$4801 target=ZERO_FILLED A=00 X=00 Y=15 call_site=$204C
extra_func 6 0xA009  # cpu=$8009 target=CODE A=0D X=06 Y=00 call_site=$0000
extra_func 6 0xA003  # cpu=$8003 target=CODE A=05 X=10 Y=00 call_site=$0000
extra_func 7 0xFF01  # cpu=$FF01 target=ZERO_FILLED A=00 X=03 Y=04 call_site=$A0BE
extra_func 3 0x4801  # cpu=$4801 target=ZERO_FILLED A=00 X=00 Y=15 call_site=$204C
extra_func 3 0x2050  # cpu=$2050 target=ZERO_FILLED A=00 X=02 Y=04 call_site=$0000
extra_func 3 0x5801  # cpu=$5801 target=ZERO_FILLED A=00 X=01 Y=02 call_site=$205A
extra_func 3 0x2050  # cpu=$2050 target=ZERO_FILLED A=00 X=02 Y=04 call_site=$0000
extra_func 3 0x5801  # cpu=$5801 target=ZERO_FILLED A=00 X=01 Y=02 call_site=$205A
extra_func 3 0x5C01  # cpu=$5C01 target=ZERO_FILLED A=00 X=07 Y=06 call_site=$E09A
extra_func 7 0xE09B  # cpu=$E09B target=CODE A=00 X=06 Y=0A call_site=$0000
extra_func 3 0x8441  # cpu=$C441 target=CODE A=00 X=4F Y=06 call_site=$0034
extra_func 3 0x2004  # cpu=$2004 target=ZERO_FILLED A=1C X=00 Y=04 call_site=$0034
extra_func 6 0x55E1  # cpu=$55E1 target=ZERO_FILLED A=55 X=06 Y=01 call_site=$0000
extra_func 3 0xA0A1  # cpu=$A0A1 target=CODE A=00 X=06 Y=0A call_site=$0000
extra_func 3 0xAC01  # cpu=$AC01 target=CODE A=00 X=07 Y=06 call_site=$2075
extra_func 3 0x2076  # cpu=$2076 target=ZERO_FILLED A=00 X=06 Y=0A call_site=$0000
extra_func 3 0x2301  # cpu=$2301 target=ZERO_FILLED A=00 X=06 Y=0A call_site=$0000
